ID;Level;Word;Pinyin;Normalized;Meaning;Sentence;Sentence_Pinyin;Sentence_Normalized;Sentence_Meaning;Category
L1-0001;Beginner;爱;ài;ai;love;我爱我的家人。;wǒ ài wǒ de jiā rén 。;wo ai wo de jia ren 。;i love my family.;Emotion
L1-0002;Beginner;爱好;àihào;aihao;hobbies;我的爱好是听音乐。;wǒ de ài hào shì tīng yīn yuè 。;wo de ai hao shi ting yin yue 。;my hobby is listening to music.;Daily
L1-0003;Beginner;八;bā;ba;eight;我有八个苹果。;wǒ yǒu bā gè píng guǒ 。;wo you ba ge ping guo 。;i have eight apples.;Number
L1-0004;Beginner;爸爸;bàba;baba;dad;你爸爸最近怎么样？;nǐ bà bà zuì jìn zěn me yàng ？;ni ba ba zui jin zen me yang ？;how is your dad recently?;Family
L1-0005;Beginner;吧;ba;ba;bar;我们一起去喝咖啡吧。;wǒ men yì qǐ qù hē kā fēi ba 。;wo men yi qi qu he ka fei ba 。;let's go have coffee together.;Daily
L1-0006;Beginner;白;bái;bai;white;这件衣服是白色的。;zhè jiàn yī fú shì bái sè de 。;zhe jian yi fu shi bai se de 。;this piece of clothing is white.;Appearance
L1-0007;Beginner;白天;báitiān;baitian;daytime;我白天在学校学习。;wǒ bái tiān zài xué xiào xué xí 。;wo bai tian zai xue xiao xue xi 。;i study at school during the daytime.;Time
L1-0008;Beginner;百;bǎi;bai;hundred;这里有一百个人。;zhè lǐ yǒu yì bǎi gè rén 。;zhe li you yi bai ge ren 。;there are one hundred people here.;Number
L1-0009;Beginner;班;bān;ban;class;我们班有二十个学生。;wǒ men bān yǒu èr shí ge xué shēng 。;wo men ban you er shi ge xue sheng 。;our class has twenty students.;School
L1-0010;Beginner;半;bàn;ban;half;我吃了半个苹果。;wǒ chī le bàn gè píng guǒ 。;wo chi le ban ge ping guo 。;i ate half an apple.;Number
L1-0011;Beginner;半年;bàn nián;ban nian;half a year;我已经学了半年中文。;wǒ yǐ jīng xué le bàn nián zhōng wén 。;wo yi jing xue le ban nian zhong wen 。;i have been learning Chinese for half a year.;Time
L1-0012;Beginner;半天;bàntiān;bantian;long time;他半天不说话。;tā bàn tiān bù shuō huà 。;ta ban tian bu shuo hua 。;he didn't speak for a long time.;Time
L1-0013;Beginner;帮;bāng;bang;help;你能帮我一下吗？;nǐ néng bāng wǒ yī xià ma ？;ni neng bang wo yi xia ma ？;can you help me a bit?;Activity
L1-0014;Beginner;帮忙;bāngmáng;bangmang;help;你可以帮忙吗？;nǐ kě yǐ bāng máng ma ？;ni ke yi bang mang ma ？;can you help?;Activity
L1-0015;Beginner;包;bāo;bao;bag;我的包在桌子上。;wǒ de bāo zài zhuō zi shàng 。;wo de bao zai zhuo zi shang 。;my bag is on the table.;Daily
L1-0016;Beginner;包子;bāozi;baozi;steamed stuffed bun;我喜欢吃包子。;wǒ xǐ huān chī bāo zi 。;wo xi huan chi bao zi 。;i like eating steamed buns.;Food
L1-0017;Beginner;杯;bēi;bei;cup;请给我一杯茶。;qǐng gěi wǒ yī bēi chá 。;qing gei wo yi bei cha 。;please give me a cup of tea.;Daily
L1-0018;Beginner;杯子;bēizi;beizi;cup;这个杯子很漂亮。;zhè ge bēi zi hěn piào liàng 。;zhe ge bei zi hen piao liang 。;this cup is very beautiful.;Daily
L1-0019;Beginner;北;běi;bei;north;北京在中国的北边。;běi jīng zài zhōng guó de běi biān 。;bei jing zai zhong guo de bei bian 。;beijing is in the north of China.;Daily
L1-0020;Beginner;北边;běibian;beibian;north;我家的北边有一个公园。;wǒ jiā de běi biān yǒu yí gè gōng yuán 。;wo jia de bei bian you yi ge gong yuan 。;there is a park to the north of my home.;Daily
L1-0021;Beginner;北京;běijīng;beijing;beijing;我觉得北京非常重要。;wǒ jué de běi jīng fēi cháng zhòng yào 。;wo jue de bei jing fei chang zhong yao 。;i think beijing is very important.;Daily
L1-0022;Beginner;本;běn;ben;book;这是一本有趣的书。;zhè shì yī běn yǒu qù de shū 。;zhe shi yi ben you qu de shu 。;this is an interesting book.;Daily
L1-0023;Beginner;本子;běnzi;benzi;book;你知道本子的意思吗？;nǐ zhī dào běn zi de yì si ma ？;ni zhi dao ben zi de yi si ma ？;do you know the meaning of book?;Daily
L1-0024;Beginner;比;bǐ;bi;compare;他跑得比我快。;tā pǎo dé bǐ wǒ kuài 。;ta pao de bi wo kuai 。;he runs faster than me.;Daily
L1-0025;Beginner;别;bié;bie;don't;别忘带钥匙。;bié wàng dài yào shi 。;bie wang dai yao shi 。;don't forget to bring the keys.;Daily
L1-0026;Beginner;别的;biéde;biede;other;你还有别的想法吗？;nǐ hái yǒu bié de xiǎng fǎ ma ？;ni hai you bie de xiang fa ma ？;do you have any other ideas?;Daily
L1-0027;Beginner;别人;biérén;bieren;others;不要管别人的事。;bú yào guǎn bié rén de shì 。;bu yao guan bie ren de shi 。;don't mind other people's business.;Daily
L1-0028;Beginner;病;bìng;bing;sick;病建议我多运动。;bìng jiàn yì wǒ duō yùn dòng 。;bing jian yi wo duo yun dong 。;sick advised me to exercise more.;Health
L1-0029;Beginner;病人;bìngrén;bingren;patient;我觉得病人非常重要。;wǒ jué de bìng rén fēi cháng zhòng yào 。;wo jue de bing ren fei chang zhong yao 。;i think patient is very important.;Daily
L1-0030;Beginner;不大;bù dà;bu da;not big;这个房间不大。;zhè ge fáng jiān bù dà 。;zhe ge fang jian bu da 。;this room is not big.;Appearance
L1-0031;Beginner;不对;bùduì;budui;no;你的答案不对。;nǐ de dá àn bú duì 。;ni de da an bu dui 。;your answer is not correct.;Daily
L1-0032;Beginner;不客气;bù kèqì;bu keqi;you are welcome;不客气，不用谢。;bú kè qì ， bù yòng xiè 。;bu ke qi ， bu yong xie 。;you're welcome, don't mention it.;Daily
L1-0033;Beginner;不用;bùyòng;buyong;need not;你不用来了。;nǐ bù yòng lái le 。;ni bu yong lai le 。;you don't need to come.;Daily
L1-0034;Beginner;不;bù;bu;no;我不想去。;wǒ bù xiǎng qù 。;wo bu xiang qu 。;i don't want to go.;Daily
L1-0035;Beginner;菜;cài;cai;vegetable;妈妈做的菜最香了。;mā mā zuò de cài zuì xiāng le 。;ma ma zuo de cai zui xiang le 。;the vegetable my mom makes is the most fragrant.;Food
L1-0036;Beginner;茶;chá;cha;tea;今天晚上我们吃茶吧。;jīn tiān wǎn shàng wǒ men chī chá ba 。;jin tian wan shang wo men chi cha ba 。;let's eat tea tonight.;Food
L1-0037;Beginner;差;chà;cha;difference;我觉得差非常重要。;wǒ jué de chà fēi cháng zhòng yào 。;wo jue de cha fei chang zhong yao 。;i think difference is very important.;Daily
L1-0038;Beginner;常;cháng;chang;often;我常要早点睡觉。;wǒ cháng yào zǎo diǎn shuì jiào 。;wo chang yao zao dian shui jiao 。;i want to sleep early often.;Time
L1-0039;Beginner;常常;chángcháng;changchang;frequent;你知道常常的意思吗？;nǐ zhī dào cháng cháng de yì si ma ？;ni zhi dao chang chang de yi si ma ？;do you know the meaning of frequent?;Daily
L1-0040;Beginner;唱;chàng;chang;sing;唱对身体有很多好处。;chàng duì shēn tǐ yǒu hěn duō hǎo chù 。;chang dui shen ti you hen duo hao chu 。;sing has many health benefits.;Activity
L1-0041;Beginner;唱歌;chànggē;changge;sing;我喜欢在周末唱歌。;wǒ xǐ huān zài zhōu mò chàng gē 。;wo xi huan zai zhou mo chang ge 。;i like to sing on weekends.;Activity
L1-0042;Beginner;车;chē;che;vehicle;车站就在我家旁边。;chē zhàn jiù zài wǒ jiā páng biān 。;che zhan jiu zai wo jia pang bian 。;the vehicle station is right next to my home.;Transport
